CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,47,92,96
2,Female,48,125,74
3,Female,34,92,79
4,Female,31,112,76
5,Male,33,112,94
6,Female,49,137,74
7,Male,35,101,98
8,Female,30,101,93
9,Female,43,132,97
10,Male,38,100,95
11,Male,42,92,97
12,Female,37,102,96
13,Female,41,109,96
14,Male,37,91,91
15,Male,42,111,78
16,Male,38,112,90
17,Female,47,111,100
18,Male,33,106,75
19,Female,31,96,89
20,Female,41,136,95
21,Female,43,128,86
22,Male,42,126,76
23,Female,31,135,83
24,Male,46,124,91
25,Male,41,117,72
26,Female,49,110,91
27,Male,39,122,79
28,Female,40,115,92
29,Female,47,98,76
30,Female,42,133,93
31,Male,49,126,79
32,Female,47,90,79
33,Female,36,117,95
34,Female,44,118,84
35,Male,46,120,95
36,Male,32,108,86
37,Female,32,138,77
38,Female,37,102,74
39,Male,31,105,85
40,Male,44,116,98
41,Male,42,121,82
42,Male,34,131,92
43,Male,33,139,83
44,Male,35,134,86
45,Female,31,125,77
46,Male,44,98,95
47,Female,46,125,89
48,Female,44,129,96
49,Female,47,118,98
50,Male,45,118,78
51,Male,50,107,94
52,Female,50,105,78
53,Female,32,135,79
54,Male,38,111,80
55,Male,34,99,77
56,Female,34,135,76
57,Male,43,116,80
58,Female,43,93,76
59,Female,42,139,88
60,Male,48,114,85
61,Male,41,109,94
62,Female,43,124,93
63,Male,45,104,78
64,Female,45,91,82
65,Female,42,136,75
66,Female,34,129,87
67,Male,42,127,88
68,Male,32,131,83
69,Male,44,101,71
70,Female,42,110,76
71,Female,40,111,94
72,Female,38,138,100
73,Female,38,95,85
74,Male,47,93,100
75,Female,37,131,72
76,Male,35,105,16
77,Male,54,99,17
78,Male,50,132,13
79,Male,49,134,18
80,Female,40,128,29
81,Male,40,109,13
82,Male,44,126,31
83,Female,47,135,16
84,Male,53,134,30
85,Male,38,134,34
86,Female,54,97,35
87,Male,46,124,23
88,Female,37,122,30
89,Female,35,116,25
90,Male,48,113,30
91,Female,39,117,15
92,Female,54,124,34
93,Female,49,117,33
94,Female,45,105,12
95,Female,49,105,34
96,Female,53,129,31
97,Female,45,91,25
98,Female,40,121,16
99,Female,43,111,18
100,Female,52,90,26
101,Male,37,105,33
102,Female,50,125,34
103,Male,50,131,32
104,Female,49,140,10
105,Male,44,104,22
